"Notes","Leading Cancer Sites","Leading Cancer Sites Code","State","State Code","Age Group","Age Group Code",Deaths
,"Brain and Other Nervous System","31010-31040","Delaware","10","35-39 years","35-39",23
,"Brain and Other Nervous System","31010-31040","Delaware","10","40-44 years","40-44",44
,"Brain and Other Nervous System","31010-31040","Delaware","10","45-49 years","45-49",47
,"Brain and Other Nervous System","31010-31040","Delaware","10","50-54 years","50-54",53
,"Brain and Other Nervous System","31010-31040","Delaware","10","55-59 years","55-59",103
,"Brain and Other Nervous System","31010-31040","Delaware","10","60-64 years ","60-64",125
,"Brain and Other Nervous System","31010-31040","Delaware","10","65-69 years","65-69",134
,"Brain and Other Nervous System","31010-31040","Delaware","10","70-74 years","70-74",144
,"Brain and Other Nervous System","31010-31040","Delaware","10","75-79 years","75-79",98
,"Brain and Other Nervous System","31010-31040","Delaware","10","80-84 years","80-84",85
,"Brain and Other Nervous System","31010-31040","Delaware","10","85+ years","85+",83
,"Brain and Other Nervous System","31010-31040","District of Columbia","11","35-39 years","35-39",19
,"Brain and Other Nervous System","31010-31040","District of Columbia","11","40-44 years","40-44",25
,"Brain and Other Nervous System","31010-31040","District of Columbia","11","45-49 years","45-49",16
,"Brain and Other Nervous System","31010-31040","District of Columbia","11","50-54 years","50-54",29
,"Brain and Other Nervous System","31010-31040","District of Columbia","11","55-59 years","55-59",49
,"Brain and Other Nervous System","31010-31040","District of Columbia","11","60-64 years ","60-64",49
,"Brain and Other Nervous System","31010-31040","District of Columbia","11","65-69 years","65-69",51
,"Brain and Other Nervous System","31010-31040","District of Columbia","11","70-74 years","70-74",60
,"Brain and Other Nervous System","31010-31040","District of Columbia","11","75-79 years","75-79",32
,"Brain and Other Nervous System","31010-31040","District of Columbia","11","80-84 years","80-84",27
,"Brain and Other Nervous System","31010-31040","District of Columbia","11","85+ years","85+",35
,"Brain and Other Nervous System","31010-31040","Florida","12","< 1 year","1",16
,"Brain and Other Nervous System","31010-31040","Florida","12","1-4 years","1-4",110
,"Brain and Other Nervous System","31010-31040","Florida","12","5-9 years","5-9",231
,"Brain and Other Nervous System","31010-31040","Florida","12","10-14 years","10-14",177
,"Brain and Other Nervous System","31010-31040","Florida","12","15-19 years","15-19",141
,"Brain and Other Nervous System","31010-31040","Florida","12","20-24 years","20-24",130
,"Brain and Other Nervous System","31010-31040","Florida","12","25-29 years","25-29",182
,"Brain and Other Nervous System","31010-31040","Florida","12","30-34 years","30-34",334
,"Brain and Other Nervous System","31010-31040","Florida","12","35-39 years","35-39",422
,"Brain and Other Nervous System","31010-31040","Florida","12","40-44 years","40-44",706
,"Brain and Other Nervous System","31010-31040","Florida","12","45-49 years","45-49",1066
,"Brain and Other Nervous System","31010-31040","Florida","12","50-54 years","50-54",1552
,"Brain and Other Nervous System","31010-31040","Florida","12","55-59 years","55-59",2089
,"Brain and Other Nervous System","31010-31040","Florida","12","60-64 years ","60-64",2635
,"Brain and Other Nervous System","31010-31040","Florida","12","65-69 years","65-69",3121
,"Brain and Other Nervous System","31010-31040","Florida","12","70-74 years","70-74",3096
,"Brain and Other Nervous System","31010-31040","Florida","12","75-79 years","75-79",2973
,"Brain and Other Nervous System","31010-31040","Florida","12","80-84 years","80-84",2305
,"Brain and Other Nervous System","31010-31040","Florida","12","85+ years","85+",2074
,"Brain and Other Nervous System","31010-31040","Georgia","13","1-4 years","1-4",66
,"Brain and Other Nervous System","31010-31040","Georgia","13","5-9 years","5-9",131
,"Brain and Other Nervous System","31010-31040","Georgia","13","10-14 years","10-14",90
,"Brain and Other Nervous System","31010-31040","Georgia","13","15-19 years","15-19",79
,"Brain and Other Nervous System","31010-31040","Georgia","13","20-24 years","20-24",71
,"Brain and Other Nervous System","31010-31040","Georgia","13","25-29 years","25-29",105
,"Brain and Other Nervous System","31010-31040","Georgia","13","30-34 years","30-34",165
,"Brain and Other Nervous System","31010-31040","Georgia","13","35-39 years","35-39",248
,"Brain and Other Nervous System","31010-31040","Georgia","13","40-44 years","40-44",352
,"Brain and Other Nervous System","31010-31040","Georgia","13","45-49 years","45-49",526
,"Brain and Other Nervous System","31010-31040","Georgia","13","50-54 years","50-54",719
,"Brain and Other Nervous System","31010-31040","Georgia","13","55-59 years","55-59",933
,"Brain and Other Nervous System","31010-31040","Georgia","13","60-64 years ","60-64",1135
,"Brain and Other Nervous System","31010-31040","Georgia","13","65-69 years","65-69",1153
,"Brain and Other Nervous System","31010-31040","Georgia","13","70-74 years","70-74",1125
,"Brain and Other Nervous System","31010-31040","Georgia","13","75-79 years","75-79",893
,"Brain and Other Nervous System","31010-31040","Georgia","13","80-84 years","80-84",620
,"Brain and Other Nervous System","31010-31040","Georgia","13","85+ years","85+",497
,"Brain and Other Nervous System","31010-31040","Hawaii","15","5-9 years","5-9",16
,"Brain and Other Nervous System","31010-31040","Hawaii","15","25-29 years","25-29",16
,"Brain and Other Nervous System","31010-31040","Hawaii","15","30-34 years","30-34",18
,"Brain and Other Nervous System","31010-31040","Hawaii","15","35-39 years","35-39",23
,"Brain and Other Nervous System","31010-31040","Hawaii","15","40-44 years","40-44",27
,"Brain and Other Nervous System","31010-31040","Hawaii","15","45-49 years","45-49",49
,"Brain and Other Nervous System","31010-31040","Hawaii","15","50-54 years","50-54",66
,"Brain and Other Nervous System","31010-31040","Hawaii","15","55-59 years","55-59",100
,"Brain and Other Nervous System","31010-31040","Hawaii","15","60-64 years ","60-64",140
,"Brain and Other Nervous System","31010-31040","Hawaii","15","65-69 years","65-69",121
,"Brain and Other Nervous System","31010-31040","Hawaii","15","70-74 years","70-74",103
,"Brain and Other Nervous System","31010-31040","Hawaii","15","75-79 years","75-79",89
,"Brain and Other Nervous System","31010-31040","Hawaii","15","80-84 years","80-84",80
,"Brain and Other Nervous System","31010-31040","Hawaii","15","85+ years","85+",73
,"Brain and Other Nervous System","31010-31040","Idaho","16","5-9 years","5-9",22
,"Brain and Other Nervous System","31010-31040","Idaho","16","10-14 years","10-14",22
,"Brain and Other Nervous System","31010-31040","Idaho","16","20-24 years","20-24",29
,"Brain and Other Nervous System","31010-31040","Idaho","16","25-29 years","25-29",29
,"Brain and Other Nervous System","31010-31040","Idaho","16","30-34 years","30-34",39
,"Brain and Other Nervous System","31010-31040","Idaho","16","35-39 years","35-39",47
,"Brain and Other Nervous System","31010-31040","Idaho","16","40-44 years","40-44",85
,"Brain and Other Nervous System","31010-31040","Idaho","16","45-49 years","45-49",104
,"Brain and Other Nervous System","31010-31040","Idaho","16","50-54 years","50-54",165
